  Title : 8-trpl-1,01uw-20s
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-24
  Time : 14:14:59
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
3.579062 ,  245
3.583134 ,  232
3.587205 ,  223
3.591277 ,  220
3.595349 ,  263
3.599421 ,  229
3.603492 ,  225
3.607564 ,  227
3.611636 ,  246
3.615707 ,  219
3.619779 ,  225
3.623851 ,  251
3.627923 ,  225
3.631994 ,  243
3.636066 ,  215
3.640138 ,  237
3.644210 ,  230
3.648281 ,  239
3.652353 ,  264
3.656425 ,  238
3.660497 ,  226
3.664568 ,  233
3.668640 ,  228
3.672712 ,  246
3.676784 ,  225
3.680855 ,  232
3.684927 ,  227
3.688999 ,  243
3.693071 ,  224
3.697142 ,  250
3.701214 ,  219
3.705286 ,  227
3.709358 ,  203
3.713429 ,  231
3.717501 ,  232
3.721573 ,  249
3.725645 ,  231
3.729716 ,  223
3.733788 ,  239
3.737860 ,  226
3.741931 ,  238
3.746003 ,  213
3.750075 ,  248
3.754147 ,  235
3.758218 ,  223
3.762290 ,  224
3.766362 ,  188
3.770434 ,  223
3.774505 ,  224
3.778577 ,  240
3.782649 ,  229
3.786721 ,  238
3.790792 ,  227
3.794864 ,  231
3.798936 ,  251
3.803008 ,  202
3.807079 ,  227
3.811151 ,  220
3.815223 ,  250
3.819295 ,  229
3.823366 ,  258
3.827438 ,  238
3.831510 ,  210
3.835582 ,  212
3.839653 ,  222
3.843725 ,  221
3.847797 ,  225
3.851869 ,  190
3.855940 ,  225
3.860012 ,  224
3.864084 ,  241
3.868156 ,  242
3.872227 ,  210
3.876299 ,  232
3.880371 ,  232
3.884442 ,  197
3.888514 ,  207
3.892586 ,  237
3.896658 ,  224
3.900729 ,  200
3.904801 ,  214
3.908873 ,  227
3.912945 ,  212
3.917016 ,  225
3.921088 ,  228
3.925160 ,  256
3.929232 ,  229
3.933303 ,  205
3.937375 ,  203
3.941447 ,  216
3.945519 ,  229
3.949590 ,  219
3.953662 ,  268
3.957734 ,  230
3.961806 ,  229
3.965877 ,  229
3.969949 ,  202
3.974021 ,  207
3.978093 ,  231
3.982164 ,  215
3.986236 ,  214
3.990308 ,  228
3.994380 ,  247
3.998451 ,  203
4.002523 ,  240
4.006595 ,  233
4.010667 ,  220
4.014738 ,  211
4.018810 ,  220
4.022882 ,  206
4.026953 ,  218
4.031025 ,  218
4.035097 ,  221
4.039169 ,  204
4.043240 ,  194
4.047312 ,  217
4.051384 ,  218
4.055456 ,  205
4.059527 ,  226
4.063599 ,  194
4.067671 ,  198
4.071743 ,  212
4.075814 ,  217
4.079886 ,  215
4.083958 ,  189
4.088030 ,  214
4.092101 ,  223
4.096173 ,  196
4.100245 ,  211
4.104317 ,  201
4.108388 ,  212
4.112460 ,  246
4.116532 ,  207
4.120604 ,  231
4.124675 ,  221
4.128747 ,  235
4.132819 ,  224
4.136891 ,  227
4.140962 ,  240
4.145034 ,  201
4.149106 ,  199
4.153178 ,  224
4.157249 ,  197
4.161321 ,  209
4.165393 ,  200
4.169464 ,  200
4.173536 ,  205
4.177608 ,  205
4.181680 ,  231
4.185751 ,  231
4.189823 ,  194
4.193895 ,  214
4.197967 ,  208
4.202038 ,  245
4.206110 ,  197
4.210182 ,  201
4.214254 ,  231
4.218325 ,  220
4.222397 ,  227
4.226469 ,  194
4.230541 ,  213
4.234612 ,  274
4.238684 ,  201
4.242756 ,  201
4.246828 ,  194
4.250899 ,  213
4.254971 ,  205
4.259043 ,  190
4.263115 ,  191
4.267186 ,  218
4.271258 ,  227
4.275330 ,  194
